StoreKey,StoreName,StoreType,City,State,StorePostalCode,StoreYelpSince,AveragePricePerPerson,IsDelivery,IsTakeOut,IsDineIn,OpenTime(AM),CloseTime(PM)
s19,Woodee Pizza,Pizza,Sacramento,California,94204,2016,50.81,1,1,1,11:00,10:00
s85,Wood Stove,American,San Jose,California,95123,2018,37.67,1,1,1,6:00,3:00
s42,Wamama,American,Los Angeles,California,91402,2017,32.61,1,1,1,11:30,6:00
s128,Wahab,American,San Diego,California,92092,2018,99.14,1,1,1,11:00,10:00
s1,Jalsa,Japanese,Los Angeles,California,90001,2015,68.84,1,1,1,9:00,9:00
s64,Vi Ra's Bar and Restaurant,Indian,San Diego,California,92109,2017,52.69,1,1,1,7:00,3:00
s183,Vennela Andhra Meals,Japanese,Sacramento,California,94208,2019,65.03,1,1,1,11:30,6:00
s139,Vegetalia,American,San Jose,California,95109,2019,52.05,1,0,1,10:00,10:00
s10,The Coffee Shack,Café,Riverside,California,90005,2015,92.37,1,0,1,8:30,10:30
s100,Foodlieious Multi Cuisine,Italian,San Jose,California,95109,2018,51.41,1,1,1,8:30,10:30
s118,Udupi Upahar,Thai,Riverside,California,92160,2018,67.56,1,1,1,7:00,3:00
s164,Udupi Ruchi,Fast Food,Riverside,California,95109,2019,33.68,1,1,0,9:00,9:00
s171,Twiststick House,American,Los Angeles,California,90026,2019,83.68,1,1,1,11:00,10:00
s178,Toscano,American,San Jose,California,95110,2019,36.82,1,1,0,10:00,10:00
s188,Tiwari's,American,Riverside,California,90505,2019,78.19,1,0,1,8:30,10:30
s108,Donne House ,American,San Francisco,California,94119,2018,36.4,1,1,1,10:00,10:00
s167,The Vintage Cafe,Café,Los Angeles,California,91402,2019,87.45,1,0,1,9:00,9:00
s185,The Grillo,Japanese,Oakland,California,94611,2019,54.15,1,1,1,9:00,9:00
s127,The Fortuna,American,San Jose,California,95109,2018,66.64,1,1,1,11:00,10:00
s11,Caf-Eleven,Café,Sacramento,California,94208,2016,54.79,0,0,1,11:00,10:00
s133,The Blue Wagon - Kitchen,Thai,San Diego,California,92160,2019,26.79,1,1,1,9:00,9:00
s111,Gawdaru Mane Beriyani,Fast Food,Los Angeles,California,91402,2018,72.29,1,1,0,7:00,3:00
s54,The Big O Bakes,Bake,Long Beach,California,90902,2017,63.19,1,0,1,8:30,10:30
